May I introduce myself,ฉันขออนุญาตแนะนําตัวเอง
Let me introduce myself,ฉันขออนุญาตแนะนําตัวเอง
My name is Jenny,ฉันชื่อเจนนี่
Nice to see you,ดีใจที่ได้เจอคุณ
I'm Anna,ฉันชื่อแอนนา
It's nice to meet you,ยินดีที่ได้รู้จัก
Nice to meet you,ยินดีที่ได้รู้จัก
Nice to meet you too,ยินดีที่ได้รู้จักเช่นกัน
I want to introduce my friend Elsa,ฉันอยากแนะนําเพื่อนชื่อเอลซ่า
I'm glad to meet you,ยินดีที่ได้รู้จัก
I'm glad to see you,ฉันดีใจที่ได้เจอคุณ
This is Elsa,นี่คือเอลซ่า
It's good to see you,ดีใจที่ได้เจอคุณ
