What month is this month,เดือนนี้เดือนอะไร
This month is May,เดือนนี้พฤษภาคม
What month was the last month,เดือนก่อนคือเดือนอะไร
The last month was April,เดือนก่อนคือเมษายน
What month is the next month,เดือนหน้าเดือนอะไร
The next month is June,เดือนหน้าคือเดือมิถุนายน
What year is this,ปีนี้คือปีอะไร
This year is 2022,ปีนี้คือปี 2022
What year was the last year,ปีที่แล้วคือปีอะไร
The last year was 2021,ปีที่แล้วคือปี 2021
What year is the next year,ปีหน้าคือปีอะไร
The next year is 2023,ปีหน้าคือปี 2023
