"เตียง","bed"
"นาฬิกาปลุก","alarm clock"
"โคมไฟ","lamp"
"โต๊ะแต่งตัว","dressing table"
"หมอนข้าง","bolster"
"ผ้าห่ม","blanket"
"หมอน","pillow"
"ตู้เสื้อผ้า","wardrobe"
"น้ำดื่ม","drinking water"
"นม","milk"
"กาแฟ","coffee"
"น้ําผลไม้","juice"
"น้ําส้ม","orange juice"
"น้ําแอปเปิ้ล","apple juice"
"น้ําสับปะรด","pineapple juice"
"น้ําแตงโม","watermelon juice"
"น้ำมะพร้าว","coconut drink"
"สมูทตี้","smoothie"
"น้ําผึ้ง","honey"
"โซดา","soda"
"ชา","tea"
"ถุงชา","tea bag"
"กาน้ําชา","teapot"
"กระป๋อง","can"
"เทนนิส","tennis"
"ยูโด","judo"
"โยคะ","yoga"
"ว่ายน้ํา","swimming"
"ปีนเขา","hiking"
"คาราเต้","karate"
"ฮอกกี้","hockey"
"กอล์ฟ","golf"
"ยิมนาสติก","gymnastics"
"ออกกําลังกาย","exercise"
"สกี","skiing"
"วิ่งออกกําลังกาย","jogging"
"ฟุตบอล","soccer"
"รักบี้","rugby"
"ปิงปอง","table tennis"
"วอลเลย์บอล","volleyball"
"บาสเก็ตบอล","basketball"
"แข่งเรือใบ","sailing"
"รองเท้า","shoes"
"ถุงเท้า","socks"
"เข็มขัด","belt"
"กระโปรง","skirt"
"กางเกงขาสั้น","shorts"
"ยีนส์","jean"
"ชุดนอน","pyjamas"
"รองเท้าแตะ","slippers"
"กางเกงเลกกิ้ง","leggings"
"เสื้อคลุมอาบน้ํา","bathrobe"
"ชุดว่ายน้ํา","swim suit"
"รองเท้าบูท","boots"
"ชุดชั้นใน","underwear"
"ชุดกระโปรง","dress"
"ชุดราตรี","evening dress"
"ชุดดําน้ํา","diving suit"
"เสื้อกันฝน","raincoat"
"สูท","suit"
"คุณครู","teacher"
"หมอ","doctor"
"พยาบาล","nurse"
"หมอฟัน","dentist"
"เภสัชกร","pharmacist"
"สัตวแพทย์","veterinarian"
"ตํารวจ","policeman"
"ทหาร","soldier"
"บุรุษไปรษณีย์","postman"
"เกษตรกร","farmer"
"ชาวประมง","fisherman"
"คนสวน","gardener"
"พ่อครัว/แม่ครัว","cook"
"ช่างไม้","carpenter"
"พนักงานต้อนรับ","receptionist"
"ล่าม","translator"
"มัคคุเทศก์","guide"
"ศิลปิน","artist"
"นักแสดงชาย","actor"
"นักแสดงหญิง","actress"
"นายแบบ/นางแบบ","model"
"นักเต้น","dancer"
"นักร้อง","singer"
"นักดนตรี","musician"
"ช่างภาพ","photographer"
"นักวิทยาศาสตร์","scientist"
"วิศวกร","engineer"
"นักบินอวกาศ","astronaut"
"พนักงานเสริ์ฟชาย","waiter"
"พนักงานเสริ์ฟหญิง","waitress"
"คนขับรถบัส","bus driver"
"คนขับแท็กซี่","taxi driver"
"ผู้รับเหมาก่อสร้าง","building contractor"
"ตํารวจจราจร","traffic cop"
"นักบิน","pilot"
"พนักงานต้อนรับบนเครื่องบินหญิง (แอร์โฮสเตส)","air hostess"
"พนักงานต้อนรับบนเครื่องบินผู้ชาย (สจ๊วต)","steward"
"ทนายความ","lawyer"
"โปรแกรมเมอร์","programmer"
"สถาปนิก","architect"
"เลขานุการ","secretary"
"นักข่าว","news reporter"
"พนักงานขาย","seller"
"แคชเชียร์","cashier"
"นักบัญชี","accountant"
"ผู้พิพากษา","judge"
"นักการเมือง","politician"
"นายกรัฐมนตรี","prime minister"
"ประธานาธิบดี","president"
"หนึ่ง","one"
"สอง","two"
"สาม","three"
"สี่","four"
"ห้า","five"
"หก","six"
"เจ็ด","seven"
"แปด","eight"
"เก้า","nine"
"สิบ","ten"
"สิบเอ็ด","eleven"
"สิบสอง","twelve"
