"เตียง","เตียง"
"นาฬิกาปลุก","นาฬิกาปลุก"
"โคมไฟ","โคมไฟ"
"โต๊ะแต่งตัว","โต๊ะแต่งตัว"
"หมอนข้าง","หมอนข้าง"
"ผ้าห่ม","ผ้าห่ม"
"หมอน","หมอน"
"ตู้เสื้อผ้า","ตู้เสื้อผ้า"
"น้ำดื่ม","น้ำดื่ม"
"นม","นม"
"กาแฟ","กาแฟ"
"น้ําผลไม้","น้ําผลไม้"
"น้ําส้ม","น้ําส้ม"
"น้ําแอปเปิ้ล","น้ําแอปเปิ้ล"
"น้ําสับปะรด","น้ําสับปะรด"
"น้ําแตงโม","น้ําแตงโม"
"น้ำมะพร้าว","น้ำมะพร้าว"
"สมูทตี้","สมูทตี้"
"น้ําผึ้ง","น้ําผึ้ง"
"โซดา","โซดา"
"ชา","ชา"
"ถุงชา","ถุงชา"
"กาน้ําชา","กาน้ําชา"
"กระป๋อง","กระป๋อง"
"เทนนิส","เทนนิส"
"ยูโด","ยูโด"
"โยคะ","โยคะ"
"ว่ายน้ํา","ว่ายน้ํา"
"ปีนเขา","ปีนเขา"
"คาราเต้","คาราเต้"
"ฮอกกี้","ฮอกกี้"
"กอล์ฟ","กอล์ฟ"
"ยิมนาสติก","ยิมนาสติก"
"ออกกําลังกาย","ออกกําลังกาย"
"สกี","สกี"
"วิ่งออกกําลังกาย","วิ่งออกกําลังกาย"
"ฟุตบอล","ฟุตบอล"
"รักบี้","รักบี้"
"ปิงปอง","ปิงปอง"
"วอลเลย์บอล","วอลเลย์บอล"
"บาสเก็ตบอล","บาสเก็ตบอล"
"แข่งเรือใบ","แข่งเรือใบ"
"รองเท้า","รองเท้า"
"ถุงเท้า","ถุงเท้า"
"เข็มขัด","เข็มขัด"
"กระโปรง","กระโปรง"
"กางเกงขาสั้น","กางเกงขาสั้น"
"ยีนส์","ยีนส์"
"ชุดนอน","ชุดนอน"
"รองเท้าแตะ","รองเท้าแตะ"
"กางเกงเลกกิ้ง","กางเกงเลกกิ้ง"
"เสื้อคลุมอาบน้ํา","เสื้อคลุมอาบน้ํา"
"ชุดว่ายน้ํา","ชุดว่ายน้ํา"
"รองเท้าบูท","รองเท้าบูท"
"ชุดชั้นใน","ชุดชั้นใน"
"ชุดกระโปรง","ชุดกระโปรง"
"ชุดราตรี","ชุดราตรี"
"ชุดดําน้ํา","ชุดดําน้ํา"
"เสื้อกันฝน","เสื้อกันฝน"
"สูท","สูท"
"คุณครู","คุณครู"
"หมอ","หมอ"
"พยาบาล","พยาบาล"
"หมอฟัน","หมอฟัน"
"เภสัชกร","เภสัชกร"
"สัตวแพทย์","สัตวแพทย์"
"ตํารวจ","ตํารวจ"
"ทหาร","ทหาร"
"บุรุษไปรษณีย์","บุรุษไปรษณีย์"
"เกษตรกร","เกษตรกร"
"ชาวประมง","ชาวประมง"
"คนสวน","คนสวน"
"พ่อครัว/แม่ครัว","พ่อครัว/แม่ครัว"
"ช่างไม้","ช่างไม้"
"พนักงานต้อนรับ","พนักงานต้อนรับ"
"ล่าม","ล่าม"
"มัคคุเทศก์","มัคคุเทศก์"
"ศิลปิน","ศิลปิน"
"นักแสดงชาย","นักแสดงชาย"
"นักแสดงหญิง","นักแสดงหญิง"
"นายแบบ/นางแบบ","นายแบบ/นางแบบ"
"นักเต้น","นักเต้น"
"นักร้อง","นักร้อง"
"นักดนตรี","นักดนตรี"
"ช่างภาพ","ช่างภาพ"
"นักวิทยาศาสตร์","นักวิทยาศาสตร์"
"วิศวกร","วิศวกร"
"นักบินอวกาศ","นักบินอวกาศ"
"พนักงานเสริ์ฟชาย","พนักงานเสริ์ฟชาย"
"พนักงานเสริ์ฟหญิง","พนักงานเสริ์ฟหญิง"
"คนขับรถบัส","คนขับรถบัส"
"คนขับแท็กซี่","คนขับแท็กซี่"
"ผู้รับเหมาก่อสร้าง","ผู้รับเหมาก่อสร้าง"
"ตํารวจจราจร","ตํารวจจราจร"
"นักบิน","นักบิน"
"พนักงานต้อนรับบนเครื่องบินหญิง (แอร์โฮสเตส)","พนักงานต้อนรับบนเครื่องบินหญิง (แอร์โฮสเตส)"
"พนักงานต้อนรับบนเครื่องบินผู้ชาย (สจ๊วต)","พนักงานต้อนรับบนเครื่องบินผู้ชาย (สจ๊วต)"
"ทนายความ","ทนายความ"
"โปรแกรมเมอร์","โปรแกรมเมอร์"
"สถาปนิก","สถาปนิก"
"เลขานุการ","เลขานุการ"
"นักข่าว","นักข่าว"
"พนักงานขาย","พนักงานขาย"
"แคชเชียร์","แคชเชียร์"
"นักบัญชี","นักบัญชี"
"ผู้พิพากษา","ผู้พิพากษา"
"นักการเมือง","นักการเมือง"
"นายกรัฐมนตรี","นายกรัฐมนตรี"
"ประธานาธิบดี","ประธานาธิบดี"
"หนึ่ง","หนึ่ง"
"สอง","สอง"
"สาม","สาม"
"สี่","สี่"
"ห้า","ห้า"
"หก","หก"
"เจ็ด","เจ็ด"
"แปด","แปด"
