"bed","เตียง"
"alarm clock","นาฬิกาปลุก"
"lamp","โคมไฟ"
"dressing table","โต๊ะแต่งตัว"
"bolster","หมอนข้าง"
"blanket","ผ้าห่ม"
"pillow","หมอน"
"wardrobe","ตู้เสื้อผ้า"
"drinking water","น้ำดื่ม"
"milk","นม"
"coffee","กาแฟ"
"juice","น้ําผลไม้"
"orange juice","น้ําส้ม"
"apple juice","น้ําแอปเปิ้ล"
"pineapple juice","น้ําสับปะรด"
"watermelon juice","น้ําแตงโม"
"coconut drink","น้ำมะพร้าว"
"smoothie","สมูทตี้"
"honey","น้ําผึ้ง"
"soda","โซดา"
"tea","ชา"
"tea bag","ถุงชา"
"teapot","กาน้ําชา"
"can","กระป๋อง"
"tennis","เทนนิส"
"judo","ยูโด"
"yoga","โยคะ"
"swimming","ว่ายน้ํา"
"hiking","ปีนเขา"
"karate","คาราเต้"
"hockey","ฮอกกี้"
"golf","กอล์ฟ"
"gymnastics","ยิมนาสติก"
"exercise","ออกกําลังกาย"
"skiing","สกี"
"jogging","วิ่งออกกําลังกาย"
"soccer","ฟุตบอล"
"rugby","รักบี้"
"table tennis","ปิงปอง"
"volleyball","วอลเลย์บอล"
"basketball","บาสเก็ตบอล"
"sailing","แข่งเรือใบ"
"shoes","รองเท้า"
"socks","ถุงเท้า"
"belt","เข็มขัด"
"skirt","กระโปรง"
"shorts","กางเกงขาสั้น"
"jean","ยีนส์"
"pyjamas","ชุดนอน"
"slippers","รองเท้าแตะ"
"leggings","กางเกงเลกกิ้ง"
"bathrobe","เสื้อคลุมอาบน้ํา"
"swim suit","ชุดว่ายน้ํา"
"boots","รองเท้าบูท"
"underwear","ชุดชั้นใน"
"dress","ชุดกระโปรง"
"evening dress","ชุดราตรี"
"diving suit","ชุดดําน้ํา"
"raincoat","เสื้อกันฝน"
"suit","สูท"
"teacher","คุณครู"
"doctor","หมอ"
"nurse","พยาบาล"
"dentist","หมอฟัน"
"pharmacist","เภสัชกร"
"veterinarian","สัตวแพทย์"
"policeman","ตํารวจ"
"soldier","ทหาร"
"postman","บุรุษไปรษณีย์"
"farmer","เกษตรกร"
"fisherman","ชาวประมง"
"gardener","คนสวน"
"cook","พ่อครัว/แม่ครัว"
"carpenter","ช่างไม้"
"receptionist","พนักงานต้อนรับ"
"translator","ล่าม"
"guide","มัคคุเทศก์"
"artist","ศิลปิน"
"actor","นักแสดงชาย"
"actress","นักแสดงหญิง"
"model","นายแบบ/นางแบบ"
"dancer","นักเต้น"
"singer","นักร้อง"
"musician","นักดนตรี"
"photographer","ช่างภาพ"
"scientist","นักวิทยาศาสตร์"
"engineer","วิศวกร"
"astronaut","นักบินอวกาศ"
"waiter","พนักงานเสริ์ฟชาย"
"waitress","พนักงานเสริ์ฟหญิง"
"bus driver","คนขับรถบัส"
"taxi driver","คนขับแท็กซี่"
"building contractor","ผู้รับเหมาก่อสร้าง"
"traffic cop","ตํารวจจราจร"
"pilot","นักบิน"
"air hostess","พนักงานต้อนรับบนเครื่องบินหญิง (แอร์โฮสเตส)"
"steward","พนักงานต้อนรับบนเครื่องบินผู้ชาย (สจ๊วต)"
"lawyer","ทนายความ"
"programmer","โปรแกรมเมอร์"
"architect","สถาปนิก"
"secretary","เลขานุการ"
"news reporter","นักข่าว"
"seller","พนักงานขาย"
"cashier","แคชเชียร์"
"accountant","นักบัญชี"
"judge","ผู้พิพากษา"
"politician","นักการเมือง"
"prime minister","นายกรัฐมนตรี"
"president","ประธานาธิบดี"
"one","หนึ่ง"
"two","สอง"
"three","สาม"
"four","สี่"
"five","ห้า"
"six","หก"
"seven","เจ็ด"
"eight","แปด"
"nine","เก้า"
"ten","สิบ"
"eleven","สิบเอ็ด"
"twelve","สิบสอง"
"thirteen","สิบสาม"
"fourteen","สิบสี่"
"fifteen","สิบห้า"
"sixteen","สิบหก"
"seventeen","สิบเจ็ด"
"eighteen","สิบแปด"
"nineteen","สิบเก้า"
"twenty","ยี่สิบ"
"pen","ปากกา"
"pencil","ดินสอ"
"notebook","สมุดบันทึก"
"ruler","ไม้บรรทัด"
"crayon","ดินสอสี"
"scissors","กรรไกร"
"eraser","ยางลบ"
"cutter","มีดคัตเตอร์"
"dictionary","พจนานุกรม"
"textbook","หนังสือเรียน"
"colored paper","กระดาษสี"
"workbook","สมุดทํางาน"
"drawing book","สมุดวาดภาพ"
"sharpener","กบเหลาดินสอ"
"glue stick","กาวแท่ง"
"calculator","เครื่องคิดเลข"
"stapler","เครื่องเย็บกระดาษ"
"highlighter","ปากกาเน้นข้อความ"
"correcting fluid","ของเหลวแก้คําผิด"
"toilet","ห้องน้ํา"
"soap","สบู่"
"toilet paper","กระดาษชําระ"
"toothpaste","ยาสีฟัน"
"toothbrush","แปรงสีฟัน"
"shampoo","แชมพู"
"hair conditioner","ครีมนวดผม"
"basin","อ่างน้ํา"
"faucet","ก๊อกน้ํา"
"towel","ผ้าเช็ดตัว"
"shower","ฝักบัวอาบน้ำ"
"tall","สูง"
"short","เตี้ย"
"fat","อ้วน"
"thin","ผอม"
"young","หนุ่มสาว"
"old","แก่ชรา"
"good","ดี"
"bad","แย่/เลว"
"happy","มีความสุข"
"sad","เศร้า"
"angry","โกรธ"
"calm","สงบ"
"excited","ตื่นเต้น"
"bored","เบื่อ"
"hungry","หิว"
"full","อิ่ม"
"quiet","เงียบ"
"loud","เสียงดัง"
"healthy","สุขภาพดี"
"sick","ป่วย"
"me","ตัวฉัน"
"father","พ่อ"
"mother","แม่"
"grandmother","ย่า หรือ ยาย"
"grandfather"," ปู่ หรือ ตา"
"brother","พี่ชาย หรือ น้องชาย"
"sister","พี่สาว หรือ น้องสาว"
"uncle","ลุง หรือ น้าชาย"
"aunt","ป้า หรือ น้าสาว"
"cookie","คุกกี้"
"fruit salad","สลัดผลไม้"
"ice cream","ไอศครีม"
"pudding","พุดดิ้ง"
"chocolate bar","ช็อกโกแลตบาร์"
"cake","เค้ก"
"donut","โดนัท"
"pie","พาย"
"jelly","เยลลี่"
"go","ไป"
"walk","เดิน"
"run","วิ่ง"
"jump","กระโดด"
"stop","หยุด"
"stand","ยืน"
"sit","นั่ง"
"close","ปิด"
"open","เปิด"
"entrance","เข้า"
"exit","ออก"
"give","ให้"
"take","รับ"
"push","ผลัก"
"pull","ดึง"
"catch","จับ/คว้า"
"throw","โยน"
"hold","ถือค้างไว้"
"sofa","โซฟา"
"table","โต๊ะ"
"television","โทรทัศน์"
