What animal do you like,คุณชอบสัตว์อะไร
I like dogs,ฉันชอบหมา
What sport do you like,คุณชอบกีฬาอะไร
I like tennis,ฉันชอบเทนนิส
What kind of music do you like,คุณชอบเพลงแนวไหน
I like pop music,ฉันชอบเพลงป๊อป
Who is your favorite actor,ใครคือนักแสดงคนโปรดของคุณ
James is my favorite actor,เจมส์เป็นนักแสดงคนโปรดของฉัน
Who is your favorite singer,ใครคือนักร้องคนโปรดของคุณ
Lisa is my favorite singer,ลิซ่าเป็นนักร้องคนโปรดของฉัน
Do you like cats,คุณชอบแมวไหม
Yes I like cats,ค่ะ ฉันชอบแมว
Do you like listening to music,คุณชอบฟังเพลงไหม
Yes I like listening to music,ใช่ ฉันชอบฟังเพลง
Do you like swimming,คุณชอบว่ายน้ําไหม
Yes I like swimming,ใช่ ฉันชอบว่ายน้ำ
Do you like cooking,คุณชอบทําอาหารไหม
Yes I like cooking,ใช่ ฉันชอบทําอาหาร
