translator,ล่าม
photographer,ช่างภาพ
dancer,เต้น
cook,ปรุงอาหาร
receptionist,พนักงานต้อนรับ
model,โมเดล
fisherman,ชาวประมง
pharmacist,เภสัชกร
steward,สจ๊วต
artist,ศิลปิน
teacher,คุณครู
president,ท่านประธาน
waiter,บริกร
bus driver,คนขับรถบัส
veterinarian,สัตวแพทย์
building contractor,ผู้รับเหมาก่อสร้าง
waitress,สาวเสิร์ฟ
scientist,นักวิทยาศาสตร์
actor,นักแสดง
traffic cop,ตํารวจจราจร
guide,คู่มือ
pilot,นักบิน
postman,บุรุษไปรษณีย์
hairdresser,ช่างทําผม
farmer,เกษตรกร
air hostess,แอร์โฮสต์
lawyer,ทนาย
taxi driver,คนขับแท็กซี่
tailor,ปรับแต่ง
programmer,โปรแกรมโปรแกรมเมอร์
engineer,วิศวกร
architect,สถาปนิก
secretary,เลขาฯ
news reporter,นักข่าวข่าว
soldier,ทหาร
cashier,แคชเชียร์
nurse,พยาบาล
accountant,นักบัญชี
musician,นักดนตรี
prime minister,นายกรัฐมนตรี
politician,นักการเมือง
dentist,หมอฟัน
designer,ผู้ออกแบบ
singer,นักร้อง
judge,ผู้พิพากษา
gardener,คนสวน
actress,นักแสดง
policeman,ตํารวจ
seller,ผู้ขาย
carpenter,ช่างไม้
astronaut,นักบินอวกาศ
doctor,หมอครับ
